,title,ingredients,instructions
12,Манные зразы с маком,крупа_манная мак масло_сливочное молоко мука_пшеничная сахар яйцо_куриное,"Это продукты, которые нам понадобятся. | Мак залить кипятком на 1 час. Потом откинуть его на марлю, чтоб стекла вода, добавить в мак сахар и начинка ГОТОВА! Из молока, сахара и крупы сварить густую кашу, добавить масло и снять с огня. ОСТУДИТЬ!!! В кашу добавить яйцо и хорошо перемешать, добавить муку, чтоб тесто из манки получилось более клейкое. | Просеиваем на подложку муку, на муку выкладываем столовой ложкой тесто и формируем лепёшечку :) На неё кладём чайную ложку маковой начинки. | На начинку снова столовую ложку теста. Верхним слоем манки мы закрываем начинку. | присыпаем мукой | На раскалённую сковороду с маслом аккуратно лопаткой (т.к. зразики очень нежные) выкладываем манные зразы и обжариваем с двух сторон до румяного цвета. Готово!!! Можно кушать с мёдом!:) | а можно и с ежевичкой :) Приятного Вам завтрака!!!"
13,"Гречка ""Мужская фантазия""",кетчуп крупа_гречневая майонез масло_растительное огурец сосиска сыр_твердый чеснок яйцо_куриное,"Обжарить сосиски с двух сторон. | Добавить гречку. Через пару минут добавить солёный огурец, порезанный кружочками. | Расколоть 2 яйца. | Посолить, перемешать. Добавить чеснок, порезанный кружочками или измельченный. | Натереть на мелкой терке сыр, добавить к нему майонез, кетчуп. Всё тщательно перемешать. | Выложить равномерным слоем на сковороду. Не размешивая, продолжать запекать парочку минут на медленном огне. | При подаче украсить зеленью. [b][color=red]Приятного аппетита!!![/color][/b]"
14,Сырно-рисовые котлеты,карри лук масло_растительное мука_пшеничная перец_черный рис соль сухари_панировочные сыр_твердый яйцо_куриное,"Лук мелко порубите и обжарьте на 1 ст. л. масла при постоянном помешивании. | Рис смешайте с луком, взбитыми яйцами, солью, перцем, с тёртым на мелкой тёрке сыром, мукой и карри. | Сформируйте котлеты и обваляйте их в сухарях. Обжарьте на растительном масле до образования золотистой корочки. | Приятного аппетита!"
15,Тушeная капуста с перловкой и мясом,капуста_квашеная крупа_перловая перец_черный сахар свинина,"Капусту промыть, положить в кастрюлю, добавить воды или рассол от капусты. Я мешаю их вместе. Воды примерно на уровне с капустой. Ставим на огонь и доводим до кипения. Добавляем сахар и перец. | Перловку хорощо промыть, щеку или пузо (у меня пузо) нарезать кубиками. | Когда капуста закипит выложить в кастрюлю мясо, поверх мяса крупу. НЕ МЕШАТЬ 1,5 часа. Примерно через час разровнять горку, но не перемешивать (если крупа попадёт на дно кастрюли, может пригореть). Когда визуально видно что крупа набухла, можно запрятать её в капусту. Время приготовления зависит от плиты. На электрической я тушу примерно 3 часа после закипяния. | Вот так выглядит в готовом виде. Если всё сразу не съедаем, то можно закатать в банки. В подвале или в холодильнике в таком виде хранится хорошо."
16,Гречка с подливой,крупа_гречневая лук окорок соль сосиска томатная_паста,"Обжариваем (третью часть от всего объема) сосиски | Затем в обжаренные сосиски высыпаем ОБЖАРИВАТЬСЯ гречку | Когда гречка станет золотистой (слегка), заливаем кипяток (на 2-4 см выше уровня гречи), солим. | ... | Режем наши мясные и сосисочные остатки | И обжариваем в отдельной сковороде с луком | Тем временем наша греча закипела, и мы убавляем её на минимальный огонь, до готовности | Подсыпаем немного муки | Томат | Когда обжарится, тоже заливаем кипятком. Солим, перчим и готовим на медленном огне (после закипания) | Гречка готова! | Кладем нашу гречку с сосисками и поливаем псевдо-подливкой тоже с сосисками))) в общем, масло масляное, а очень вкусно!"
17,Рождественское сочиво,изюм курага мед орехи_грецкие пшеница,"Зёрна пшеницы просеять, очень хорошо промыть, главное, чтобы не было шелухи. Отварить до готовности в большом количестве воды. Немного посолить. | Курагу и изюм промыть и залить кипятком. Оставить на 20 минут. | Курагу нарезать. | Добавить изюм. | Нарезанные орехи. | Пшеницу откинуть на дуршлаг. Не промывать. Горячей добавить к сухофруктам и орехам. | Добавить мёд и размешать. Традиционное русское блюдо для празднования Рождества готово! Приятного аппетита!!! И счастливого Вам Рождества!!!"
18,Богатая кутья,изюм мак мед орехи_грецкие пшеница сахар чернослив,"Все необходимое. | А это главные приборы в приготовлении нашего блюда. Не знаю, как они называются по-русски (даже мой муж, коренной русский, не смог подсказать), но у нас это макитра и макогон. Кто знает - подскажите. | Зерна пшеницы промыть, замочить на несколько часов и сварить рассыпчатую кашу. Охладить. | Мак промыть, замочить на несколько часов и перетереть в макитре с помощью макогона. Тереть до появления макового молочка, добавить сахар, мед и тереть еще до полного растворения сахара. | Орехи посушить и измельчить, изюм распарить, чернослив распарить и мелко порезать. | Все подготовленные ингридиенты хорошенько смешиваем. Ставим прямо в макитре на почетное место в центре стола. | По нашим традициям, начиная ужинать, сначала нужно съесть три ложки кутьи, а потом уже приступать к остальным блюдам, которых должно быть 12 - в честь 12 апостолов."
19,Жареный рис с зеленым горошком и яйцом,горошек_зеленый масло_растительное рис соль яйцо_куриное,На сковороду выливаем растительное масло нагреваем.. Рис промываем (если надо... выкладываем в масло перемешиваем... | Заливаем двумя стаканами воды... доводим до кипения... притушим огонь.. закроем крышкой и оставляем вариться... | Подготовим зеленый горошек... (Размораживать не надо) | Два яйца разболтаем с одной столовой ложкой молока и солью (Молоко не обязательно) | Через 10 минут после начала варки риса (Вода должна уйти внутрь под рис.. высыпаем в рис горох... закрываем крышкой (НЕ МЕШАЕМ) | Еще через пару минут выливаем яйцо... закрываем крышкой | ... | Когда яйцо побелеет. приготовится... выключаем огонь... но оставим наш рис еще на пять минут подышать под крышкой... Вот теперь можно все перемешать ))) | Приятного Аппетита!!!))) | Я подавала как гарнир к мясу по -китайски с свежими огурцами... На всякий случай... Рецепт я показывала здесь: http://www.povarenok .ru/recipes/show/142 24/
20,Биточки со сладким соусом или киселем,"крахмал масло_растительное пшено рис сахар соль ягода_(у_меня_были_замороженные_смородина,клубника_) яйцо_куриное","из крупы сварить вязкую кашу, добавить соль, сахар | я варила на воде из расчета 1:1. | дать остыть до 70-60 градусов, добавить яйцо и перемешать. Масса обязательно должна быть теплой. | сформовать биточки и запанировать в муке или сухарях | и обжарить с двух сторон до румяной корочки. | пока биточки жарятся, приготовим кисель | кисель готов | выложить на тарелку и полить соусом-кисельком | а можно и сметанкой ПРИЯТНОГО АППЕТИТА!"
21,Перловка под овощным одеялом,крупа_перловая курица лук майонез морковь чеснок,"Обжариваем на сковороде лук, морковь, добавляем чеснок и в последнюю очередь хреновину. Тушим несколько минут. Выключаем. фото не фонтан: ( | На лист (или в любую форму для выпекания) выкладываем отваренную перловку | На перловку выкладываем курицу (я ее обобрала от костей и руками разделила на кусочки) | На курицу выкладываем морковь с луком и с хреновиной. И отправляем в нагретую духовку до 160-170 градусов минут на 15-20-ть. Приятного Вам аппетита!!!"
22,Завтрак для любимого,изюм молоко рис сахар яйцо_куриное,"В рис добавить все инредиенты и хорошенько перемешать между собой, разложить по формам; выпекать при 180*С 20 минут. | Вот, что у нас получается."
23,Гречка с фасолью и овощами,вода крупа_гречневая лук морковь сало соль фасоль,"У этой грудинки (""Три поросенка"") мои домочадцы мясо объели, а сало я порезала, вытопила и добавила порезанные морковь и лук. Через 5 минут засыпаем 1/2 стакана гречки, вливаем 1 стакан воды, солим по вкусу. После закипания устанавливаем минимальный огонь и варим до полного разбухания крупы (у меня примерно 15 минут). | В готовую кашу добавляем консервированную фасоль без жидкости, перемешиваем. Печь выключаем, оставляем кашу на плите минут на 5-10. | И гарнир отличный, и как самостоятельное блюдо очень вкусно!"
24,Гарнир из чечевицы,зелень курага лук масло_растительное орехи_грецкие перец_черный соль чечевица,"Чечевицу промыть, залить 2.5 стаканами холодной воды и отварить до готовности (1-1.5 часа). | Курагу замочить в теплой воде, затем нарезать брусочками и обжарить в растительном масле вместе с мелко нарезанным луком, посолить, поперчить. | Положить чечевицу к кураге и луку и немножко потушить (2-3 мин). Добавить грецкие орехи, перемешать. | При подаче посыпать мелко нарубленной зеленью. | Блюдо готовится просто, но получается очень вкусно и главное - все это очень полезно, особенно весной! Приятного аппетита!!!"
25,Кус-кус,изюм кус-кус лимон лук масло_растительное мята перец_сладкий помидор сахар соль томатная_паста,"Вот, что нам понадобится | Мелко порежем овощи | Изюм заварим в кипятке... Нагреем сковороду... Овощи выкладываем в сковороду. (Можно их предварительно немного обжрить на растительном масле).. добавляем томатную пасту... изюм.. мелко резаную мяту (или немного сухой)... Заливаем 0.5 стакана воды... немного соли.. сахара.. и тушим пять минут на среднем огне под закрытой крышкой | ... | Затем горячую овощную смесь вместе с жижкой... смешиваем с крупой. польем лимонным соком.. Закрываем крышкой укутываем в полотенце.. и оставляем на пять-восемь минут... даем крупе набухнуть Знакомые мне сказали что правильно заваривать кус кус надо брать часть кускуса полторы воды или любого бульона )В общем все просто | Приятного аппетита!!!"
26,"Рис с морепродуктами ""КАРРИбы""",ананас имбирь карри коктейль_морской лук маслины масло_растительное рис сельдерей_корневой сельдерей_черешковый соль чеснок,"Предварительно, рис промыть и залить холодной водой, минут на 20. Нарезать корневой сельдерей соломкой, обжарить его на растительном масле. | Добавить лук - соломкой. | Выдавить чеснок. | Натереть имбирь на мелкой тёрке. Пару сантиметров от корня, не больше. | Добавить черешковый сельдерей. Я его разрезала вдоль, а потом поперёк пластинками. | Добавляем морской коктейль. | Жидкость от консервированных ананасов. | Добавить рис (воду в которой замачивался, слить), налить воды (кипячёной, тёплой) столько, чтобы она покрывала рис на один палец. | Солим по вкусу. Добавляем карри. | Доводим до кипения. Пару колец ананаса, нарезаем кусочками, кладём к рису. | Накрываем крышкой, и убавляем огонь на минимум. Готовим минут 40, не открывая крышку. | Подать я решила так. На тарелку выложить одно колечко ананаса, на него рис, потом ещё колечко и ещё рис. Украсить маслинами и петрушкой."
27,"Рис ""Вкусный завтрак""",ананас вода какао-порошок клюква корица масло_грецкого_ореха_(или_растительное_без_запаха) мед орехи_грецкие рис соль,"В кипящую воду положить рис, какао и чуть-чуть посолить. Накрыть крышкой. Варить до готовности. | Орехи измельчить ножом или при помощи кухонного комбайна. Не мелко! | Ананас (2 кольца) нарезать на кусочки. | В рис добавить мед, орехи, ананас, чуть-чуть корицы, масло грецкого ореха (или растительное без запаха). Перемешать. | Украсить и на стол! :-)"
28,Постный плов с чечевицей,вода куркума лук масло_растительное морковь рис специи томаты_в_собственном_соку чеснок чечевица,Лук и морковь мелко режем.. и тушим в небольшом колличестве воды (Или можно предварительно обжарить на растительном масле) | Добавляем рис.. чечевицу... томаты (предварительно порубленные)Или томатный сок..1.5 стакана воды.. (Если вы не добавляете томатный сок или томаты... Воды берем 2 стакана).. Солим... перчим.. Чеснок режем на дольки.. Добавляем в плов... Затем куркума.. | Доводим до кипения... притушим огонь... и на слабом огне тушим.. под закрытой крышкой..20 минут.. Не мешайте!!! | Через 20 минут.. Рис и чечевица всю воду забрали... Снимите с огня.. посыпьте зеленью.. и чесноком.. Закройте крышкой.. и оставьте подышать плов.. еще 5-8 минут... Затем перемешайте.. | Приятного аппетита!!! | ...
30,Перловка с овощами,брокколи вода карри картофель крупа_перловая лук масло_растительное морковь соль фасоль чеснок,"Крупу замачиваем с вечера, чтобы набухла. | Обжариваем в масле мелко нарезанный лук 1-2 минуты. Затем добавляем мелко нарезанный чеснок и порошок карри, перемешать. Через 1 инуту добавить перловую крупу (без жидкости для замачивания), кружочками морковь и кубиками картошку. Наливаем воду, закрываем крышкой и варим при медленном кипении 20 минут. Через 20 минут добавить брокколи и стручковую фасоль (я не размораживала), посолить по вкусу. И поварить еще минут 8-10. | Наша вкусная и полезная каша готова! | А это, чтобы деткам веселее было кашу есть. | :-D :-D :-D"
31,"Котлеты ""Манна небесная""",зелень крупа_манная лук морковь мука_пшеничная соль специи,"3 луковицы мелко нашинковать. Слегка обжарить до золотистого цвета (если дети не любят лук, лучше чтобы его не было видно) | Снять с огня. Переложить в емкость, добавить манку, муку, перемешать. Сформовать котлетки, обвалять в муке и обжарить с двух сторон. | Нашинковать морковь и оставшуюся луковицу. Здесь я люблю покрупнее. Добавить к котлетам (я не перекладывала в сотейник, хотя можно). Жарить пару минут. | Влить воду, чтобы покрыть котлеты на 3/4 части. Посолить, добавить специи и зелень. Накрыть крышкой и протушить мин.10. Здесь самое важное не передержать, чтобы котлеты не разварились. | Подавать на стол с любым гарниром, я использую тушеные вместе с котлетами овощи."
32,Рис с жареным кокосом,"вода гвоздика изюм кокос_(порезанного_кокоса,см._1_шаг) корица кунжут масло_растительное рис","Кокос порезать как на фото | В сковороде разогреть масло. Выложить кокос. Обжарить 1 мин на маленьком огне. | Добавить кунжут, гвоздику. Жарит до золотистого цвета кокоса. | В кипящую воду выкладываем рис. | Добавляем корицу. | Туда же кокос | И изюм. Солим. | Накрываем крышкой и варим до готовности. | Рис сварился. Выключаем. Даем 5 минут постоять под крышкой. Взбиваем вилкой. | И подаем на стол"
33,Кус-кус,базилик вода кус-кус лимон лук морковь овощи томатная_паста филе_куриное,"Нарезать филе, лук и морковь | Обжарить филе на оливковом масле, сначала на сильном огне, потом уменьшить огонь | Добавить лук и морковь, обжарить до готовности | Затем замороженные овощи, перемешать и жарить при прикрытой крышке | У меня такие овощи | Добавить специи: базилик, перец, соль, томат и выдавить половинку лимона - хорошо перемешать | Добавить кус-кус | Влить воду, закрыть плотно крышкой и убрать огонь, оставив томиться на горячей плите | Вот и готово наше полезное и вкусное блюдо. фото не очень вышло, оно с телефона. я сейчас спешу на занятия и, если написала что-то не так, прошу простить :-["
34,Ризотто со спаржей и зеленым горошком,"бульон вино_белое горошек_зеленый лук масло_сливочное перец_белый рис сливки спаржа_(зеленая,_свежая) сыр_твердый эстрагон_(свежий_или_сушеный)","Продукты... | В кипящем бульоне (соленом) отварить спаржу (12 мин.), отложить на тарелку; | в этом же бульоне отварить зелёный горошек (3 мин.), отложить на тарелку; бульон сохранить. | Лучек мелко нарезать, сыр натереть, | на растопленном масле обжарить лук, эстрагон; добавить вино, перекипятить. | Добавить рис, перец белый и потушить на маленьком огне 3-5 мин, постоянно помешивая; | добавить 1/2 часть бульона и варить, постоянно помешивая, пока жидкость не впитается; добавить остальной бульон (1/2). | Когда рис приобретет консистенцию вязкой каши (где-то через 8-10 мин.), добавить сливки и сыр, постоянно помешивая; | добавить овощи, осторожно перемешать, закрыть крышкой, выключить огонь, и настоять около 5-10 мин, перед подачей."
