,title,ingredients,instructions
12,Манные зразы с маком,"Мак — 100 г | Сахар (1 ст.л.в начинку, 3 ст.л. в кашу) — 4 ст. л. | Молоко (у меня 3.2 %жирности) — 500 мл | Яйцо куриное — 1 шт | Крупа манная — 6 ст. л. | Масло сливочное — 50 г | Мука пшеничная / Мука","Это продукты, которые нам понадобятся. | Мак залить кипятком на 1 час. Потом откинуть его на марлю, чтоб стекла вода, добавить в мак сахар и начинка ГОТОВА! Из молока, сахара и крупы сварить густую кашу, добавить масло и снять с огня. ОСТУДИТЬ!!! В кашу добавить яйцо и хорошо перемешать, добавить муку, чтоб тесто из манки получилось более клейкое. | Просеиваем на подложку муку, на муку выкладываем столовой ложкой тесто и формируем лепёшечку :) На неё кладём чайную ложку маковой начинки. | На начинку снова столовую ложку теста. Верхним слоем манки мы закрываем начинку. | присыпаем мукой | На раскалённую сковороду с маслом аккуратно лопаткой (т.к. зразики очень нежные) выкладываем манные зразы и обжариваем с двух сторон до румяного цвета. Готово!!! Можно кушать с мёдом!:) | а можно и с ежевичкой :) Приятного Вам завтрака!!!"
13,"Гречка ""Мужская фантазия""",Сосиска — 1 шт | Крупа гречневая — 5 ст. л. | Яйцо куриное — 2 шт | Сыр твердый | Майонез | Кетчуп | Огурец (соленый) — 1 шт | Чеснок | Масло растительное,"Обжарить сосиски с двух сторон. | Добавить гречку. Через пару минут добавить солёный огурец, порезанный кружочками. | Расколоть 2 яйца. | Посолить, перемешать. Добавить чеснок, порезанный кружочками или измельченный. | Натереть на мелкой терке сыр, добавить к нему майонез, кетчуп. Всё тщательно перемешать. | Выложить равномерным слоем на сковороду. Не размешивая, продолжать запекать парочку минут на медленном огне. | При подаче украсить зеленью. [b][color=red]Приятного аппетита!!![/color][/b]"
14,Сырно-рисовые котлеты,Рис (вареный) — 2 стак. | Сыр твердый — 160 г | Яйцо куриное — 2 шт | Лук репчатый — 1 шт | Мука пшеничная / Мука — 2 ст. л. | Карри — 1/2 ч. л. | Сухари панировочные / Панировка — 3 ст. л. | Масло растительное (для жарки) | Соль | Перец черный (молотый),"Лук мелко порубите и обжарьте на 1 ст. л. масла при постоянном помешивании. | Рис смешайте с луком, взбитыми яйцами, солью, перцем, с тёртым на мелкой тёрке сыром, мукой и карри. | Сформируйте котлеты и обваляйте их в сухарях. Обжарьте на растительном масле до образования золотистой корочки. | Приятного аппетита!"
15,Тушeная капуста с перловкой и мясом,"Капуста квашеная — 1-2 кг | Свинина (щека или пузо) — 0,5 кг | Крупа перловая — 1 горст. | Сахар — 2 ст. л. | Перец черный — 10 шт","Капусту промыть, положить в кастрюлю, добавить воды или рассол от капусты. Я мешаю их вместе. Воды примерно на уровне с капустой. Ставим на огонь и доводим до кипения. Добавляем сахар и перец. | Перловку хорощо промыть, щеку или пузо (у меня пузо) нарезать кубиками. | Когда капуста закипит выложить в кастрюлю мясо, поверх мяса крупу. НЕ МЕШАТЬ 1,5 часа. Примерно через час разровнять горку, но не перемешивать (если крупа попадёт на дно кастрюли, может пригореть). Когда визуально видно что крупа набухла, можно запрятать её в капусту. Время приготовления зависит от плиты. На электрической я тушу примерно 3 часа после закипяния. | Вот так выглядит в готовом виде. Если всё сразу не съедаем, то можно закатать в банки. В подвале или в холодильнике в таком виде хранится хорошо."
16,Гречка с подливой,"Крупа гречневая | Сосиска (я люблю Баварские с сыром, молочные или сливочные... или сразу несколько видов) | Окорок (или какое любое мясо) | Кетчуп (или томатная паста, по желанию... в сезон - помидоры) | Соль (перец, приправы) | Лук репчатый (по вкусу)","Обжариваем (третью часть от всего объема) сосиски | Затем в обжаренные сосиски высыпаем ОБЖАРИВАТЬСЯ гречку | Когда гречка станет золотистой (слегка), заливаем кипяток (на 2-4 см выше уровня гречи), солим. | ... | Режем наши мясные и сосисочные остатки | И обжариваем в отдельной сковороде с луком | Тем временем наша греча закипела, и мы убавляем её на минимальный огонь, до готовности | Подсыпаем немного муки | Томат | Когда обжарится, тоже заливаем кипятком. Солим, перчим и готовим на медленном огне (после закипания) | Гречка готова! | Кладем нашу гречку с сосисками и поливаем псевдо-подливкой тоже с сосисками))) в общем, масло масляное, а очень вкусно!"
17,Рождественское сочиво,Пшеница — 300 г | Курага — 100 г | Изюм — 100 г | Орехи грецкие — 100 г | Мед — 2 ст. л.,"Зёрна пшеницы просеять, очень хорошо промыть, главное, чтобы не было шелухи. Отварить до готовности в большом количестве воды. Немного посолить. | Курагу и изюм промыть и залить кипятком. Оставить на 20 минут. | Курагу нарезать. | Добавить изюм. | Нарезанные орехи. | Пшеницу откинуть на дуршлаг. Не промывать. Горячей добавить к сухофруктам и орехам. | Добавить мёд и размешать. Традиционное русское блюдо для празднования Рождества готово! Приятного аппетита!!! И счастливого Вам Рождества!!!"
18,Богатая кутья,Пшеница — 1 стак. | Мак — 150 г | Изюм | Чернослив | Орехи грецкие | Мед — 3 ст. л. | Сахар — 3 ст. л.,"Все необходимое. | А это главные приборы в приготовлении нашего блюда. Не знаю, как они называются по-русски (даже мой муж, коренной русский, не смог подсказать), но у нас это макитра и макогон. Кто знает - подскажите. | Зерна пшеницы промыть, замочить на несколько часов и сварить рассыпчатую кашу. Охладить. | Мак промыть, замочить на несколько часов и перетереть в макитре с помощью макогона. Тереть до появления макового молочка, добавить сахар, мед и тереть еще до полного растворения сахара. | Орехи посушить и измельчить, изюм распарить, чернослив распарить и мелко порезать. | Все подготовленные ингридиенты хорошенько смешиваем. Ставим прямо в макитре на почетное место в центре стола. | По нашим традициям, начиная ужинать, сначала нужно съесть три ложки кутьи, а потом уже приступать к остальным блюдам, которых должно быть 12 - в честь 12 апостолов."
19,Жареный рис с зеленым горошком и яйцом,Рис — 1 стак. | Горошек зеленый (я взяла замороженый) — 2/3 стак. | Яйцо куриное — 2 шт | Соль | Масло растительное — 4 ст. л.,На сковороду выливаем растительное масло нагреваем.. Рис промываем (если надо... выкладываем в масло перемешиваем... | Заливаем двумя стаканами воды... доводим до кипения... притушим огонь.. закроем крышкой и оставляем вариться... | Подготовим зеленый горошек... (Размораживать не надо) | Два яйца разболтаем с одной столовой ложкой молока и солью (Молоко не обязательно) | Через 10 минут после начала варки риса (Вода должна уйти внутрь под рис.. высыпаем в рис горох... закрываем крышкой (НЕ МЕШАЕМ) | Еще через пару минут выливаем яйцо... закрываем крышкой | ... | Когда яйцо побелеет. приготовится... выключаем огонь... но оставим наш рис еще на пять минут подышать под крышкой... Вот теперь можно все перемешать ))) | Приятного Аппетита!!!))) | Я подавала как гарнир к мясу по -китайски с свежими огурцами... На всякий случай... Рецепт я показывала здесь: http://www.povarenok .ru/recipes/show/142 24/
20,Биточки со сладким соусом или киселем,"Рис (круглый) — 1 стак. | Пшено — 1 стак. | Яйцо куриное — 1 шт | Ягода (у меня были замороженные смородина,клубника ) — 2 горст. | Крахмал — 2 ст. л. | Соль (по вкусу) | Сахар (по вкусу) | Масло растительное (или оливковое, для обжарки)","из крупы сварить вязкую кашу, добавить соль, сахар | я варила на воде из расчета 1:1. | дать остыть до 70-60 градусов, добавить яйцо и перемешать. Масса обязательно должна быть теплой. | сформовать биточки и запанировать в муке или сухарях | и обжарить с двух сторон до румяной корочки. | пока биточки жарятся, приготовим кисель | кисель готов | выложить на тарелку и полить соусом-кисельком | а можно и сметанкой ПРИЯТНОГО АППЕТИТА!"
21,Перловка под овощным одеялом,"Крупа перловая | Курица (отварная, у меня была, аж, на 1 кг 800гр.) — 1 шт | Морковь — 3 шт | Лук репчатый — 4 шт | Чеснок — 2 зуб. | Соус томатный (хреновина, можно любой другой кетчуп, соус, майонез(кто что любит))","Обжариваем на сковороде лук, морковь, добавляем чеснок и в последнюю очередь хреновину. Тушим несколько минут. Выключаем. фото не фонтан: ( | На лист (или в любую форму для выпекания) выкладываем отваренную перловку | На перловку выкладываем курицу (я ее обобрала от костей и руками разделила на кусочки) | На курицу выкладываем морковь с луком и с хреновиной. И отправляем в нагретую духовку до 160-170 градусов минут на 15-20-ть. Приятного Вам аппетита!!!"
22,Завтрак для любимого,"Рис (отварной) — 1,5 стак. | Изюм — 1 горст. | Яйцо куриное — 1 шт | Молоко — 4 ст. л. | Сахар (можно мед) — 2 ст. л.","В рис добавить все инредиенты и хорошенько перемешать между собой, разложить по формам; выпекать при 180*С 20 минут. | Вот, что у нас получается."
23,Гречка с фасолью и овощами,"Крупа гречневая — 1/2 стак. | Сало (свиное - от грудинки, окорока...) | Морковь — 1 шт | Лук зеленый (белая часть) — 2 шт | Вода — 1 стак. | Фасоль консервированная — 1 бан. | Соль (+ перец, по вкусу)","У этой грудинки (""Три поросенка"") мои домочадцы мясо объели, а сало я порезала, вытопила и добавила порезанные морковь и лук. Через 5 минут засыпаем 1/2 стакана гречки, вливаем 1 стакан воды, солим по вкусу. После закипания устанавливаем минимальный огонь и варим до полного разбухания крупы (у меня примерно 15 минут). | В готовую кашу добавляем консервированную фасоль без жидкости, перемешиваем. Печь выключаем, оставляем кашу на плите минут на 5-10. | И гарнир отличный, и как самостоятельное блюдо очень вкусно!"
24,Гарнир из чечевицы,Чечевица (красная) — 1 стак. | Курага — 50 г | Лук репчатый — 2 шт | Орехи грецкие — 2 ст. л. | Масло растительное | Соль — по вкусу | Перец черный — по вкусу | Зелень (для подачи),"Чечевицу промыть, залить 2.5 стаканами холодной воды и отварить до готовности (1-1.5 часа). | Курагу замочить в теплой воде, затем нарезать брусочками и обжарить в растительном масле вместе с мелко нарезанным луком, посолить, поперчить. | Положить чечевицу к кураге и луку и немножко потушить (2-3 мин). Добавить грецкие орехи, перемешать. | При подаче посыпать мелко нарубленной зеленью. | Блюдо готовится просто, но получается очень вкусно и главное - все это очень полезно, особенно весной! Приятного аппетита!!!"
25,Кус-кус,Кус-кус — 200 г | Помидор | Перец сладкий | Изюм | Мята | Томатная паста | Лук репчатый | Лимон (Сок) | Масло растительное (не обязательно) | Соль | Сахар,"Вот, что нам понадобится | Мелко порежем овощи | Изюм заварим в кипятке... Нагреем сковороду... Овощи выкладываем в сковороду. (Можно их предварительно немного обжрить на растительном масле).. добавляем томатную пасту... изюм.. мелко резаную мяту (или немного сухой)... Заливаем 0.5 стакана воды... немного соли.. сахара.. и тушим пять минут на среднем огне под закрытой крышкой | ... | Затем горячую овощную смесь вместе с жижкой... смешиваем с крупой. польем лимонным соком.. Закрываем крышкой укутываем в полотенце.. и оставляем на пять-восемь минут... даем крупе набухнуть Знакомые мне сказали что правильно заваривать кус кус надо брать часть кускуса полторы воды или любого бульона )В общем все просто | Приятного аппетита!!!"
26,"Рис с морепродуктами ""КАРРИбы""","Рис — 1 стак. | Коктейль морской — 200 г | Лук репчатый — 1 шт | Сельдерей корневой — 100 г | Сельдерей черешковый — 1 шт | Чеснок — 2 зуб. | Имбирь (небольшой кусочек) — 1 шт | Ананас (консервированный кольцами, маленькая) — 1 бан. | Карри — 1 ч. л. | Масло растительное (без запаха) | Соль — по вкусу | Маслины (для подачи)","Предварительно, рис промыть и залить холодной водой, минут на 20. Нарезать корневой сельдерей соломкой, обжарить его на растительном масле. | Добавить лук - соломкой. | Выдавить чеснок. | Натереть имбирь на мелкой тёрке. Пару сантиметров от корня, не больше. | Добавить черешковый сельдерей. Я его разрезала вдоль, а потом поперёк пластинками. | Добавляем морской коктейль. | Жидкость от консервированных ананасов. | Добавить рис (воду в которой замачивался, слить), налить воды (кипячёной, тёплой) столько, чтобы она покрывала рис на один палец. | Солим по вкусу. Добавляем карри. | Доводим до кипения. Пару колец ананаса, нарезаем кусочками, кладём к рису. | Накрываем крышкой, и убавляем огонь на минимум. Готовим минут 40, не открывая крышку. | Подать я решила так. На тарелку выложить одно колечко ананаса, на него рис, потом ещё колечко и ещё рис. Украсить маслинами и петрушкой."
27,"Рис ""Вкусный завтрак""","Рис (обработанный паром) — 90 г | Вода — 180 мл | Соль | Какао-порошок — 1 ст. л. | Орехи грецкие (+ для украшения) — 20 г | Мед — 1,5 ст. л. | Ананас (консервированный кольцами) — 2 шт | Корица | Клюква (для украшения) | Масло грецкого ореха (или растительное без запаха) — 1 ч. л.","В кипящую воду положить рис, какао и чуть-чуть посолить. Накрыть крышкой. Варить до готовности. | Орехи измельчить ножом или при помощи кухонного комбайна. Не мелко! | Ананас (2 кольца) нарезать на кусочки. | В рис добавить мед, орехи, ананас, чуть-чуть корицы, масло грецкого ореха (или растительное без запаха). Перемешать. | Украсить и на стол! :-)"
28,Постный плов с чечевицей,Рис — 0.5 стак. | Чечевица (зелёная) — 0.5 стак. | Морковь — 1 шт | Лук репчатый — 1 шт | Томаты в собственном соку (или томантый сок) — 0.5 стак. | Специи | Чеснок — 1 зуб. | Куркума (Не обязательно) — 0.5 ч. л. | Масло растительное (не обязательно) — 2 ст. л. | Вода — 1.5 стак.,Лук и морковь мелко режем.. и тушим в небольшом колличестве воды (Или можно предварительно обжарить на растительном масле) | Добавляем рис.. чечевицу... томаты (предварительно порубленные)Или томатный сок..1.5 стакана воды.. (Если вы не добавляете томатный сок или томаты... Воды берем 2 стакана).. Солим... перчим.. Чеснок режем на дольки.. Добавляем в плов... Затем куркума.. | Доводим до кипения... притушим огонь... и на слабом огне тушим.. под закрытой крышкой..20 минут.. Не мешайте!!! | Через 20 минут.. Рис и чечевица всю воду забрали... Снимите с огня.. посыпьте зеленью.. и чесноком.. Закройте крышкой.. и оставьте подышать плов.. еще 5-8 минут... Затем перемешайте.. | Приятного аппетита!!! | ...
30,Перловка с овощами,Крупа перловая — 120 г | Лук репчатый — 1 шт | Морковь (большая или 2 маленьких) — 1 шт | Картофель — 1-2 шт | Брокколи (замороженная) — 100 г | Фасоль (стручковая замороженная) — 50 г | Чеснок — 5-6 зуб. | Карри (порошок) — 1 ч. л. | Соль (по вкусу) | Вода — 500 мл | Масло растительное — 2 ст. л.,"Крупу замачиваем с вечера, чтобы набухла. | Обжариваем в масле мелко нарезанный лук 1-2 минуты. Затем добавляем мелко нарезанный чеснок и порошок карри, перемешать. Через 1 инуту добавить перловую крупу (без жидкости для замачивания), кружочками морковь и кубиками картошку. Наливаем воду, закрываем крышкой и варим при медленном кипении 20 минут. Через 20 минут добавить брокколи и стручковую фасоль (я не размораживала), посолить по вкусу. И поварить еще минут 8-10. | Наша вкусная и полезная каша готова! | А это, чтобы деткам веселее было кашу есть. | :-D :-D :-D"
